black1,red1,strike1,black2,red2,strike2,title,description,location,start_date,end_date,start_time,end_time,tags
1,,,,1,,Farmers Market - Multiple Locations,"Chicago's Farmers Markets bring more than 70 vendors selling fresh fruits, vegetables, plants and flowers to neighborhoods throughout the City of Chicago.
Locations -
Downtown - Federal Plaza 7am - 3pm
Map: https://goo.gl/maps/NMru1
Lincoln Square 7am - 1pm
Map: https://goo.gl/maps/v4Uvs
Columbus Park 2pm - 7pm
Map: https://goo.gl/maps/RP9sO
About: http://www.cityofchicago.org/city/en/depts/dca/supp_info/farmersmarkets0.html
Calendar: http://www.thrillhouse.com
If you'd like to make a small donation to help keep the calendar running, you can Paypal chicagosummercalendar@gmail.com","W Adams St at S Dearborn St Chicago, IL",6/30/15,6/30/15,7:00:00 AM,3:00:00 PM,none
1,,,,1,,Museum of Contemporary Art Free,"Note: Free admission only to Illinois residents every Tuesday.
One of the nation’s largest facilities devoted to the art of our time, the Museum of Contemporary Art (MCA) offers exhibitions of the most thought-provoking art created since 1945. The MCA documents contemporary visual culture through painting, sculpture, photography, video and film, and performance. Located in the heart of downtown Chicago, the MCA boasts a gift store, bookstore, restaurant, 300-seat theater, and a terraced sculpture garden with a great view of Lake Michigan.
Map: https://goo.gl/maps/b05l4
About: http://www.mcachicago.org/info/about/overview
Calendar: http://www.thrillhouse.com
If you'd like to make a small donation to help keep the calendar running, you can Paypal chicagosummercalendar@gmail.com","220 E Chicago Ave, Chicago, IL 60611, USA",6/30/15,6/30/15,10:00:00 AM,8:00:00 PM,none
0,,,,1,,Loyola University Museum of Art Free,"The Loyola University Museum of Art (LUMA) was founded in 2005 on the Water Tower Campus of Loyola University Chicago. LUMA is located on the Magnificent Mile in Lewis Towers, a historic 1926 Gothic Revival building. The museum, with 25,000 square feet contains eight main exhibition galleries, the William G. and Marilyn M. Simpson Lecture Hall, the Solomon Cordwell Buenz Library of Sacred Art and Architecture, the Museum Shop, the Push Pin Gallery, and the Harlan J. Berk Ltd. Works on Paper Gallery. LUMA welcomes new members and volunteers at all levels of participation. 
Map: https://goo.gl/maps/rbz9z
About: http://www.luc.edu/luma/about/index.shtml
Calendar: http://www.thrillhouse.com
If you'd like to make a small donation to help keep the calendar running, you can Paypal chicagosummercalendar@gmail.com
","Loyola University Museum of Art, 820 North Michigan Avenue, Chicago, IL 60611, United States",6/30/15,6/30/15,11:00:00 AM,8:00:00 PM,none
1,,,,1,,Millennium Park Film Series - Apollo 13,"NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.
Where: Jay Pritzker Pavilion, Millennium Park
Map: https://goo.gl/maps/DCjdi
About: http://www.imdb.com/title/tt0112384/
Closed Captions: No
Runtime: 140 minutes
Calendar: https://www.facebook.com/ChicagoCalendar
If you'd like to make a small donation to help keep the calendar running, you can Paypal chicagosummercalendar@gmail.com","Jay Pritzker Pavilion at Millennium Park, 201 East Randolph Street, Chicago, IL 60601, United States",6/30/15,6/30/15,6:30:00 PM,8:50:00 PM,none
0,,,,,,Movies in the Park - Spare Parts (PG-13),"Four Hispanic high school students form a robotics club. With no experience, 800 bucks, used car parts and a dream, this rag tag team goes up against the country's reigning robotics champion, MIT.
Where: Dunham Park
Map: https://maps.google.com/maps?q=4638+N+Melvina+Ave+Chicago,+IL+60630
About: http://www.imdb.com/title/tt3233418
Event Info: http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Dunham1/
Park info: http://www.chicagoparkdistrict.com/parks/Dunham-Park/
Neighborhood: Portage Park
Closed Captions: No
Runtime: 83 minutes
Call (773) 685-3257for weather related cancellation information or email Dan White at daniel.white@chicagoparkdistrict.com.
NOTE: This is an ESTIMATED time and does not reflect the actual starting time. Movie times may vary and are controlled by the Chicago Parks Department. This calendar is not affiliated with any section of the City of Chicago.","4638 N Melvina Ave Chicago, IL 60630",6/30/15,6/30/15,8:45:00 PM,10:08:00 PM,none
1,,,1,,,Movies in the Park - Maleficent (PG),"A vengeful fairy is driven to curse an infant princess, only to discover that the child may be the one person who can restore peace to their troubled land.
Where: Mary Bartelme Park
Map: https://maps.google.com/maps?q=115+S+Sangamon+St+Chicago,+IL+60607
About: http://www.imdb.com/title/tt1587310
Event Info: http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Bartelme3/
Park info: http://www.chicagoparkdistrict.com/parks/Bartelme-Mary-Park/
Neighborhood: Near West Side
Closed Captions: Yes
Runtime: 97 minutes
Call (312) 746-5494 for weather related cancellation information or email Tony Fitzgerald at tony.fitzgerald@chicagoparkdistrict.com.
NOTE: This is an ESTIMATED time and does not reflect the actual starting time. Movie times may vary and are controlled by the Chicago Parks Department. This calendar is not affiliated with any section of the City of Chicago.","115 S Sangamon St Chicago, IL 60607",6/30/15,6/30/15,8:45:00 PM,10:22:00 PM,none
0,,,,,,Farmers Market - Multiple Locations,"Chicago's Farmers Markets bring more than 70 vendors selling fresh fruits, vegetables, plants and flowers to neighborhoods throughout the City of Chicago.
Locations -
Green City Market 7am - 1pm
Map: https://goo.gl/maps/YUeDE
Treasure Island 3pm - 8pm
Map: https://goo.gl/maps/bo51L
Andersonville 3pm - 8pm
Map: https://goo.gl/maps/RdhB0
LaFollette Park 2pm - 7pm
Map: https://goo.gl/maps/9KL33
Wood Street Farm Stand 11am - 4pm
Map: https://goo.gl/maps/I3db8
About: http://www.cityofchicago.org/city/en/depts/dca/supp_info/farmersmarkets0.html
Calendar: http://www.thrillhouse.com
If you'd like to make a small donation to help keep the calendar running, you can Paypal chicagosummercalendar@gmail.com","1800 N Clark St, Chicago, IL 60614, USA",7/1/15,7/1/15,7:00:00 AM,8:00:00 PM,none
0,,,,,,Charnley-Persky House Museum Free,"The Charnley-Persky House is located at 1365 North Astor Street in the Gold Coast neighborhood of Chicago, within the Astor Street Historic District. The neighborhood developed in the late 1880s, largely through the efforts of Potter Palmer, who built an imposing ""castle"" on Lake Shore Drive, designed by Cobb & Frost. He purchased large tracts of land in the area and built dozens of houses which were sold to Chicago's wealthy class. The neighborhood has retained its stature as Chicago's premier neighborhood to the present day.
Map: https://goo.gl/maps/tYzes
About: http://www.sah.org/about-sah/charnley-persky-house/visit-the-house
Calendar: http://www.thrillhouse.com
If you'd like to make a small donation to help keep the calendar running, you can Paypal chicagosummercalendar@gmail.com","Charnley-Persky House Museum, 1365 North Astor Street, Chicago, IL 60610, United States",7/1/15,7/1/15,12:00:00 PM,1:00:00 PM,none
0,,,,,,Clark House Museum Free,"Free hour long tours on Wednesdays. 12pm - 1pm & 2pm - 3pm. The Clarke House Museum is Chicago's oldest home. Tours of this 1836 Greek Revival-style house reveal what life was like for a middle class family in Chicago, when the city was in its formative years before the Civil War.
Map: https://goo.gl/maps/DERz9
About: http://www.cityofchicago.org/city/en/depts/dca/supp_info/clarke_house_museumtours.html
Calendar: http://www.thrillhouse.com
If you'd like to make a small donation to help keep the calendar running, you can Paypal chicagosummercalendar@gmail.com","Clarke House Museum, 1827 South Indiana Avenue, Chicago, IL 60616, United States",7/1/15,7/1/15,12:00:00 PM,3:00:00 PM,none
0,,,,,,Glessner House Museum Free,"Glessner House Museum offers guided tours of Glessner House (1886), a National Historic Landmark, and Clarke House (1836), the City's oldest surviving building, located in the adjacent Chicago Women's Park and Gardens. Tours are led by trained docents and last approximately one hour in each house.  Tours are timed so that the two houses may be toured back-to-back.  Advance reservations are not accepted.
Map: https://goo.gl/maps/7g3uG
About: http://www.glessnerhouse.org/Tours.htm
Calendar: http://www.thrillhouse.com
If you'd like to make a small donation to help keep the calendar running, you can Paypal chicagosummercalendar@gmail.com","Glessner House Museum, 1800 South Prairie Avenue, Chicago, IL 60616, United States",7/1/15,7/1/15,3:00:00 PM,4:00:00 PM,none
