title,start_date_f,end_date_f,lat,lng,address,description,tags,source
Where in the World Have You Been?,2015-10-21T20:00:00Z,2015-10-22T00:00:00Z,41.720915,-87.642915,"9525 S. Halsted Street, Chicago, IL 60628",Drop by YOUmedia and mark all the places you've traveled on the map on the wall. Leave comments or short stories about your adventures!,[],library
Anime Club,2015-10-21T22:00:00Z,2015-10-21T23:30:00Z,41.85380315,-87.63204861,"2100 S. Wentworth Avenue, Chicago, IL 60616","Watch Anime, discuss Manga, create art and make crafts.",[],library
Teen Read Week: Teen Poetry Night,2015-10-21T22:00:00Z,2015-10-22T00:30:00Z,41.779263,-87.668264,"1745 W. 63rd Street, Chicago, IL 60636",Join us to read a collection of teen published poetry and any of your own personal writing you'd like to share. Light refreshments will be served.,[],library
F.L.O.W. Open Mic,2015-10-21T22:30:00Z,2015-10-22T00:30:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","Perform poetry, music, dance, comedy and more in YOUmedia's very own open mic night. Experiment with a wide variety of media, as well as recording it all live. Come early to get your name on the performance list and start working on your stage presence. Fresh.Lyrics.On.Wednesdays.",[],library
Film Screening: &quot;In The Game&quot;,2015-10-21T23:00:00Z,2015-10-22T01:00:00Z,41.654726,-87.602223,"13281 S. Corliss Avenue, Chicago, IL 60827","<img src=""https://chipublib.bibliocommons.com/events/uploads/images/full/a6cc0dae4cbfe62ec006e193d1b07d64/inthegame-fence-resized.jpg"" alt="""" style=""margin: auto; display: block;"">Join us for a screening of the new documentary film from Kartemquin Films, <a href=""https://www.kartemquin.com/films/in-the-game/""><em>In The Game</em></a>. ",[],library
GenerationOn for Teens,2015-10-21T23:00:00Z,2015-10-22T00:00:00Z,41.921,-87.797,"6871 W. Belden Avenue, Chicago, IL 60707","<a href=""http://www.generationon.org/"">GenerationOn</a> is  a great way to have fun, get involved in your community and leave a mark on the world! Join us as we choose a cause and start a plan of action to help others and make a difference.",[],library
Scopes in the City,2015-10-21T23:00:00Z,2015-10-22T00:30:00Z,41.889163,-87.765762,"5615 W. Race Avenue, Chicago, IL 60644",Adler Planetarium's Michelle Nichols brings her telescope to Austin. Join us as we view the skies from our own backyard.,[],library
Teens' Top Ten Election Night,2015-10-21T23:30:00Z,2015-10-22T01:00:00Z,41.85380315,-87.63204861,"2100 S. Wentworth Avenue, Chicago, IL 60616","Join us for Teen Read Week! Watch book trailers, discuss your favorite titles and cast your vote for YALSA's Teens' Top Teen titles.",[],library
Graphic Novel Night,2015-10-21T23:30:00Z,2015-10-22T00:30:00Z,41.869363,-87.65441,"1101 W. Taylor Street, Chicago, IL 60607","Come and share your thoughts and your opinions of this month's title <a id=""ember3566"" href=""/item/show/8773075081"" data-add-title-link=""8773075081"">Beautiful Darkness</a> by Fabien Vehlmann.  ",[],library
Home School Hang Out,2015-10-22T18:30:00Z,2015-10-22T20:30:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","Calling all Chicagoland home school teens. We make web shows. We design objects for 3D printers and vinyl cutters. We paint and draw. We play games and go on field trips. If you are interested in doing these things, you are interested in the Home School Group.",[],library
Teen Game Room,2015-10-22T20:00:00Z,2015-10-22T22:00:00Z,41.895745,-87.668496,"1625 W. Chicago Avenue, Chicago, IL 60622","Unwind, relax and hang out with friends over some board games and video games!",[],library
â€‹Digital Design,2015-10-22T20:00:00Z,2015-10-22T23:00:00Z,41.857801,-87.661115,"1805 S. Loomis Street, Chicago, IL 60608","Digital Design using Photoshop, Illustrator and other cool applications.",[],library
Where in the World Have You Been?,2015-10-22T20:00:00Z,2015-10-23T00:00:00Z,41.720915,-87.642915,"9525 S. Halsted Street, Chicago, IL 60628",Drop by YOUmedia and mark all the places you've traveled on the map on the wall. Leave comments or short stories about your adventures!,[],library
Collaborative Window Mural,2015-10-22T20:00:00Z,2015-10-22T22:00:00Z,41.895745,-87.668496,"1625 W. Chicago Avenue, Chicago, IL 60622","Some people walk by our branch without knowing it's there. Let's catch their attention with a street-facing collaborative mural! During Teen Read Week, window paints will be available every day during program hours for you to contribute anything you'd like as you get away at your library.",[],library
Foil Sculpture Challenge,2015-10-22T20:00:00Z,2015-10-22T23:00:00Z,41.895745,-87.668496,"1625 W. Chicago Avenue, Chicago, IL 60622",Can you build a sculpture using an entire roll of aluminum foil? Complete the challenge to win a prize! Drop in anytime between 3 and 6 p.m.,[],library
Terraform Terrariums,2015-10-22T20:30:00Z,2015-10-22T22:30:00Z,41.9755882,-87.7137735,"3401 W. Foster Avenue, Chicago, IL 60625-4808","Celebrate Teen Read Week: Get Away @ your library by building your own miniature world in a terrarium. Recreate worlds from your favorite books, or write the backstory for your own creation.",[],library
YOUmedia Teen Space,2015-10-22T20:30:00Z,2015-10-23T00:30:00Z,41.808817,-87.675101,"2111 W. 47th Street, Chicago, IL 60609"," T is for Teen, Tuesday &amp; Thursday. Take time to hang out, mess around and geek out with other older teens. For ages 14-18. ",[],library
Maker Open Lab,2015-10-22T21:00:00Z,2015-10-22T23:00:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","Use YOUmedia's maker equipment to pursue your own projects. Learn to design and print in 3D or use the vinyl cutter to create stickers, stencils, or decals. Have an idea of your own? Come in and make it happen!",[],library
Music Studio,2015-10-22T21:00:00Z,2015-10-22T22:30:00Z,41.85380315,-87.63204861,"2100 S. Wentworth Avenue, Chicago, IL 60616",Write and record music using GarageBand or create mash-ups using our DJ console.,[],library
Film Screening: Green on Thursdays,2015-10-22T21:00:00Z,2015-10-23T00:30:00Z,41.8943707,-87.7064607,"733 N. Kedzie Avenue, Chicago, IL 60612"," Activist and community resident, David Clayton will screen the award-winning documentary, <i>Green On Thursdays, </i>directed by Dean Bushala and Deirdre Heaslip. In addition, Mr. Clayton will share some of the many highlights of his life and work, including being a founding member of Chicago's Pink Angels--a non-profit, LGBT, community-based anti-violence squad that patrolled the streets of Chicago's Northside gay community. <i>Green on Thursdays </i>was nominated into the LGBT Hall of Fame. Please join us for this special, timely, and important event.",[],library
Hip Hop Teen Scene,2015-10-22T21:30:00Z,2015-10-22T22:30:00Z,41.795247,-87.655083,"5440 S. Racine Avenue, Chicago, IL 60609","Join us for games, snacks, hip hop conversation and free WIFI. Laptops will be available to use. For teens 13 to 18. ",[],library
Art Therapy Oasis,2015-10-22T21:30:00Z,2015-10-22T22:30:00Z,41.730922,-87.549661,"9055 S. Houston Avenue, Chicago, IL 60617","Get away at your library during Teen Read Week and create works of art in a soothing, calming and therapeutic atmosphere.",[],library
The Great Artdoors,2015-10-22T22:00:00Z,2015-10-22T23:30:00Z,41.876755,-87.627872,"400 S. State Street, Chicago, IL 60605","The Great Artdoors is YOUmedia's public art and design workshop. Come learn and create art using professional, unconventional and experimental techniques!",[],library
Computer Love,2015-10-22T22:00:00Z,2015-10-22T23:00:00Z,41.720915,-87.642915,"9525 S. Halsted Street, Chicago, IL 60628",Get away at your library during Teen Read Week. Create your own theme song and have the computer sing it back to you!,[],library
Get Away...Into Fantasy Gaming,2015-10-22T22:30:00Z,2015-10-23T00:30:00Z,41.936689,-87.786083,"3104 N. Narragansett Avenue, Chicago, IL 60634",Get away at your library during Teen Read Week and learn how to play some fantasy board games. ,[],library
Meet The Author Fall Series,2015-10-22T23:00:00Z,2015-10-23T00:30:00Z,41.750953,-87.614807,"7901 S. King Drive , Chicago, IL 60619","Meet author <strong>Regina Holliday,</strong> as she discusses the creative process behind her book <strong><em data-redactor-tag=""em"">The Wounded Spirit.  </em></strong>",[],library
Family Craft Night,2015-10-22T23:30:00Z,2015-10-23T00:30:00Z,41.762506,-87.563816,"2505 E. 73rd Street, Chicago, IL 60649",Use your creativity to contribute to a group art project with your friends and family&nbsp;or make a craft to take home with you.,[],library
Scopes in the City,2015-10-22T23:30:00Z,2015-10-23T00:45:00Z,41.808817,-87.675101,"2111 W. 47th Street, Chicago, IL 60609",Get away at your library during Teen Read Week! Specialists from Adler Planetarium will help you see outer space from the library lawn.,[],library
Knitting Circle,2015-10-22T23:30:00Z,2015-10-23T00:30:00Z,41.925437,-87.657573,"1150 W. Fullerton Avenue, Chicago, IL 60614","Are you an aspiring knitter?  Come and learn basic knitting skills in this 6-week program.  Materials will be provided by the branch.  If you would like to take your work home, please bring knitting needles.",[],library
