title,start_date_f,end_date_f,address,description,source,tags
Night Out: Urban Gateways at La Follette,2015-07-14T11:00:00,2015-07-14T12:00:00,"La Follette Park, 1333 N. Laramie Ave., Chicago IL         60651","Urban Gateways Touring Performances bring captivating live shows by many of Chicago's finest dance, music and theater artists to park sites across the city. These performances expose young people and families to diverse cultural and artistic experiences and encourage them to engage in a personal exploration of the arts.]",parks,none
Night Out: Urban Gateways at Kedvale,2015-07-14T13:00:00,2015-07-14T14:00:00,"Kedvale Park, 4134 W. Hirsch St., Chicago IL         60651","Urban Gateways Touring Performances bring captivating live shows by many of Chicago's finest dance, music and theater artists to park sites across the city. These performances expose young people and families to diverse cultural and artistic experiences and encourage them to engage in a personal exploration of the arts.]",parks,none
Night Out: Urban Gateways at Shedd,2015-07-14T14:00:00,2015-07-14T15:00:00,"Shedd Park, 3660 W. 23rd St., Chicago IL         60623","Urban Gateways Touring Performances bring captivating live shows by many of Chicago's finest dance, music and theater artists to park sites across the city. These performances expose young people and families to diverse cultural and artistic experiences and encourage them to engage in a personal exploration of the arts.]",parks,none
Night Out: Concerts in the Parks at Chgo Women's,2015-07-14T18:30:00,2015-07-14T20:00:00,"Chicago Women's Park and Gardens, 1801 S. Indiana Ave., Chicago IL         60616", Concert featuring Vander Cook College of Music ],parks,none
Night Out: Concerts in the Parks at Welles,2015-07-14T18:30:00,2015-07-14T20:00:00,"Chicago Women's Park and Gardens, 1801 S. Indiana Ave., Chicago IL         60616"," Band: New Candy Store Prophets | Monkees Tribute Band 
",parks,none
Night Out: Concerts in the Parks at Welles,2015-07-14T18:30:00,2015-07-14T20:00:00,"Welles Park, 2333 W. Sunnyside Ave., Chicago IL         60625"," Band: New Candy Store Prophets | Monkees Tribute Band 
",parks,none
Night Out: Bombay-Bangkok-Bali Express at Norwood,2015-07-15T13:00:00,2015-07-15T15:00:00,"Norwood Park, 5801 N. Natoma Ave., Chicago IL         60631","Join Mandala South Asian Performing Arts in showcasing the dance, music, and dramatic traditions of South Asia. Attendees will participate in one of three workshops (mask-making, drumming, or dance) and then take part in the performance that follows. Each performance involves stories from South Asian folklore where animals turn into heroes that rescue those in distress from demons.]",parks,none
Night Out: Urban Gateways at Fuller,2015-07-15T13:00:00,2015-07-15T14:00:00,"Fuller Park, 331 W. 45th St, Chicago IL         60609","Urban Gateways Touring Performances bring captivating live shows by many of Chicago's finest dance, music and theater artists to park sites across the city. These performances expose young people and families to diverse cultural and artistic experiences and encourage them to engage in a personal exploration of the arts.]",parks,none
Night Out: Art &amp; Arch. Bike Tours at Calumet,2015-07-15T17:00:00,2015-07-15T20:30:00,"Calumet Park, 9801 S. Avenue G, Chicago IL         60617","Slow Roll Chicago's Art & Architecture Bike Tours is a series of 12 community bicycle rides touring neighborhood art and architecture. Throughout the series, all participants are invited to participate in a bike photography competition. A number of winning photos will be selected for public exhibition at the final ride.]",parks,none
Night Out: Concerts in the Parks at Woodhull,2015-07-15T18:30:00,2015-07-15T20:30:00,"Woodhull Playground Park, 7340 S. East End Ave., Chicago IL         60649",Join us for a free Jazz/R&B concert featuring Taylor Moore.],parks,none
Night Out: Dance in the Parks at Moran Playground,2015-07-15T18:30:00,2015-07-15T20:00:00,"Moran Playground Park, 5727 S. Racine Ave., Chicago IL         60621",Dance in the Parks brings professional concert dance to a temporary stage in Chicago's neighborhood parks! Performances include dance works by established up-and-coming Chicago choreographers performed by professional dancers as well as showcase opportunities for youth performers from the local neighborhoods. Free all- ages performance. Bring your picnic and enjoy the show!],parks,none
Night Out: On the Caribbean Isle at Fosco,2015-07-15T18:30:00,2015-07-15T20:30:00,"Fosco Park, 1312 S. Racine Ave., Chicago IL         60608","West Indian Dance Theater presents an evening of traditional and island-style contemporary Afro-Caribbean dance and music. The program includes a performance, an interactive mini-dance workshop, and a limbo contest.]",parks,none
Night Out: Adventures in Jazz at Fred Anderson,2015-07-15T19:00:00,2015-07-15T21:00:00,"Anderson (Fred), ,   ","The Borderbend Arts Collective presents ""Adventures in Jazz -- Chicago and Beyond,"" includes a performance by jazz ensemble and interactive artmaking activities for all ages. The set list will include compositions by the great jazz saxophonist Fred Anderson, Charles Mingus, and ensemble members.]",parks,none
Night Out: Gandhian Growth at Columbus Refectory,2015-07-15T19:00:00,2015-07-15T21:00:00,"Columbus Park, 500 S. Central Ave., Chicago IL         60644","RagaJazz Ensemble of Chicago energetically joins classical raga melodies of India with funk and jazz rhythm and harmony. A three-movement suite with up and ballad tempi and extensive improvisation. Instrumentation includes tenor sax, piano, bass, drum set, tabla and bansuri (bamboo flute).]",parks,none
Night Out: Yoga in the Parks at Norwood Circle,2015-07-15T19:15:00,2015-07-15T20:00:00,"Norwood Circle Park, 7117 W. Peterson Ave., Chicago IL         60631",Join the Chicago Park District's Fitness Department for an exhilarating evening of Yoga in the Park.],parks,none
Storytelling Guild Meetings at NPV,2015-07-15T19:30:00,2015-07-15T22:00:00,"North Park Village Nature Center, 5801 N. Pulaski Rd., Chicago IL         60646","Nature Center/North Shore Storytelling Guild meetings are open to all interested in the art of storytelling.   No experience necessary.  Come to tell or just to listen.  No registration required.   For more information, call Mark Kater at 847-673-5786]",parks,none
Night Out: Theater on the Lake at Berger,2015-07-15T19:30:00,2015-07-15T21:30:00,"Berger Park Cultural Center, 6205 N. Sheridan Rd., Chicago IL         60660","Theater Oobleck presents, ""Song About Himself."" In a dystopian future, where the Internet has been effectively destroyed by viruses and malware, people communicate in mumbles. Looking for human interaction, Carol ― a woman made extraordinary by her ability to speak relatively clearly ― signs in to a mysterious social media site only to find that, strangely, she is its only member. The secrets she uncovers there will either cure or break her lonely heart. Employing an original form of verse derived from a corruption of Walt Whitman's Leaves of Grass, Song About Himself goes at the question every play asks: ""Do words, in the end, help?""]",parks,none
Night Out: Broccoli: The Musical! at Maggie Daley,2015-07-16T11:00:00,2015-07-16T12:00:00,"Maggie Daley Park, 337 E. Randolph St., Chicago IL         60601","MPAACT Theatre presents ""When Good Broccoli Goes Bad: The Musical!,"" the story of Broccoli's adventure out of the vegetable crisper and into the land of unhealthy foods that live on the refrigerator's higher shelves. Using music from different genres and decades, this musical offers young people the historical and nutritional food information they need to help them learn the value of healthy eating.]",parks,none
Night Out: Project Inclusion at Hamilton,2015-07-16T11:30:00,2015-07-16T12:30:00,"Cedar Playlot Park, 5311 N. Winthrop Ave., Chicago IL         60640","Enjoy the wonders of chamber music through Project Inclusion’s family-friendly and interactive string concerts.
",parks,none
Night Out: Project Inclusion at Hamilton,2015-07-16T12:00:00,2015-07-16T13:00:00,"Hamilton Park, 513 W. 72nd St., Chicago IL         60621","This year the Grant Park Music Festival will continue to work together with the Chicago Park District's Night Out in the Parks program and expand Festival Connect, its comprehensive initiative aimed to increase music education and engagement opportunities for audiences of all ages.    Enjoy the wonders of chamber music through Project Inclusion?s family-friendly and interactive string concerts showcasing the talents of exceptional young musicians of diverse backgrounds.]",parks,none
Night Out: On the Caribbean Isle at Moore,2015-07-16T15:00:00,2015-07-16T17:00:00,"Moore Park, 5085 W. Adams St., Chicago IL         60644","West Indian Dance Theater presents an evening of traditional and island-style contemporary Afro-Caribbean dance and music. The program includes a performance, an interactive mini-dance workshop, and a limbo contest.]",parks,none
Night Out: West Indian Dance Workshops at Columbus,2015-07-16T15:00:00,2015-07-16T16:00:00,"Columbus Park, 500 S. Central Ave., Chicago IL         60644","Learn basic Afro-Caribbean dance with the West Indian Dance Theater Company.  Workshops are every Thursday, June 18 - September 3, 2015.]",parks,none
Night Out: One Way Ticket at LeClaire-Hearst,2015-07-16T16:00:00,2015-07-16T18:00:00,"LeClaire Courts/Hearst Community, 5120 W. 44th St., Chicago IL         60638","This performance by the group Classic Black features Performance Duo: In the Spirit (Emily Lansana and Zahra Baker), Shanta, and friends. The show presents spoken word and musical artists in an interactive experience of African American literature and music. Focused on stories connected to the Great Migration, featured works include folktales, poetry, and personal stories combined with gospel, rhythm and blues, jazz, and other black musical forms. One Way ticket is geared toward family audiences.]",parks,none
Night Out: Urban Gateways at Moore,2015-07-16T16:30:00,2015-07-16T18:30:00,"Hasan Playlot Park, 6855 S. Oglesby Ave., Chicago IL         60649","Urban Gateways Touring Performances bring captivating live shows by many of Chicago's finest dance, music and theater artists to park sites across the city. Join The Mike Dangeroux Band as they travel through the evolution and
",parks,none
Night Out: Urban Gateways at Moore,2015-07-16T17:00:00,2015-07-16T18:00:00,"Moore Park, 5085 W. Adams St., Chicago IL         60644","Urban Gateways Touring Performances bring captivating live shows by many of Chicago's finest dance, music and theater artists to park sites across the city. Join The Mike Dangeroux Band as they travel through the evolution and
",parks,none
Night Out: Movin' to the Music at Athletic Field,2015-07-16T17:00:00,2015-07-16T18:00:00,"Moore Park, 5085 W. Adams St., Chicago IL         60644"," Come out and join us for some sing-along-songs. Let the little ones dance and hula hoop to the music. At last, save your energy for some bubble bursting fun!  
",parks,none
Night Out: Movin' to the Music at Athletic Field,2015-07-16T17:30:00,2015-07-16T18:30:00,"Athletic Field Park, 3546 W. Addison St., Chicago IL         60618"," Come out and join us for some sing-along-songs. Let the little ones dance and hula hoop to the music. At last, save your energy for some bubble bursting fun!  
",parks,none
Night Out: Urban Gateways at Paschen,2015-07-16T17:45:00,2015-07-16T18:45:00,"Paschen Park, 1932 W. Lunt Ave., Chicago IL         60626","Urban Gateways Touring Performances bring captivating live shows by many of Chicago's finest dance, music and theater artists to park sites across the city. These performances expose young people and families to diverse cultural and artistic experiences and encourage them to engage in a personal exploration of the arts.]",parks,none
Night Out: SummerDance at Austin TH,2015-07-16T18:00:00,2015-07-16T21:00:00,"Austin Town Hall Park, 5610 W. Lake St., Chicago IL         60644","In collaboration with the Department of Cultural Affairs and Special Events, Chicago Summer Dance heads to the neighborhood parks. SummerDance in the Parks features a different genre of dance instruction followed by 2 hours of live music where patrons can show-off their newly learned dance moves.     6-7pm: Ken Watkins (Chicago Steppin)  7-9pm: National Steppers Society (Chicago Steppin?) ]",parks,none
Night Out: Epic Steel Orchestra at Austin TH,2015-07-16T18:00:00,2015-07-16T20:00:00,"Austin Town Hall Park, 5610 W. Lake St., Chicago IL         60644","The West Point School of Music's energetic ensemble features the genre of music known as Calypso. The performers make this complex musical style pleasant and accessible. They also perform Latin, Jazz, Classical, and Contemporary music, demonstrating their great flexibility.]",parks,none
Night Out: CWCMC Cabaret Series at White (WB),2015-07-16T18:30:00,2015-07-16T20:30:00,"White (Willye B.) Park, 1610 W. Howard, Chicago IL         60626","Original cabaret series ""A Tribute to The Legends, The Story Continues"" presents vocalists, spoken word artists, dancers and instrumentalists in a ""living biography"", a musical tribute to iconic artists.]",parks,none
Night Out: Acme Miniature Circus at Paschen,2015-07-16T18:30:00,2015-07-16T19:45:00,"Paschen Park, 1932 W. Lunt Ave., Chicago IL         60626","The Acme Miniature Circus is an authentic Victorian flea circus.  Watch Midge and Madge, rare trained fleas, perform spectacular circus stunts only seen before on top of the Crowned Heads of Europe. Acme Miniature Circus is part sideshow, part educational, and all fun. Suitable for ages 5 - 100.]",parks,none
Night Out: Concerts in the Parks at Adams,2015-07-16T18:30:00,2015-07-16T20:00:00,"Adams Playground Park, 1919 N. Seminary Ave., Chicago IL         60614", Join us for a lively evening of music in the parks. You and your little ones will have a blast swinging to the music of park favorite School of Rock. ],parks,none
Night Out: Vaudeville Nights at Kosciuszko,2015-07-16T18:30:00,2015-07-16T19:30:00,"Kosciuszko Park, 2732 N. Avers Ave., Chicago IL         60647","Voice of the City presents a modern variety show consisting of nine short, entertaining, and intriguing acts that may feature performance artists, actors, dancers, short films/video, comedians, pantomimes, jugglers, singers, acrobats, magicians- or any other act of intrigue that penetrates the eyes, the ears, and even the soul of the audience!]",parks,none
Night Out: Concerts in the Parks at Mayfair,2015-07-16T18:30:00,2015-07-16T19:30:00,"Kosciuszko Park, 2732 N. Avers Ave., Chicago IL         60647","Join us for a concert in the park. Bring a picnic and enjoy an evening with family and friends.
",parks,none
Night Out: Concerts in the Parks at Mayfair,2015-07-16T18:30:00,2015-07-16T20:30:00,"Mayfair Park, 4550 W. Sunnyside Ave., Chicago IL         60630","Join us for a concert in the park. Bring a picnic and enjoy an evening with family and friends.
",parks,none
Night Out: Taylor Moore and Friends at Burnside,2015-07-16T18:30:00,2015-07-16T20:00:00,"Burnside Park, 9400 S. Greenwood Ave., Chicago IL         60619","Taylor Moore & Friends will perform a variety of music ranging from jazz standards to contemporary tunes, while incorporating audience participation and providing an oral history of the music.]",parks,none
Night Out: Spain's Dancing Rhythms at Gage,2015-07-16T18:30:00,2015-07-16T20:00:00,"Burnside Park, 9400 S. Greenwood Ave., Chicago IL         60619","The Ensemble Español presents the music, songs, and dances of Spain.
",parks,none
Night Out: Spain's Dancing Rhythms at Gage,2015-07-16T18:30:00,2015-07-16T19:15:00,"Gage Park, 2411 W. 55th St., Chicago IL         60609","The Ensemble Español presents the music, songs, and dances of Spain in a variety of innovative ballets, traditional folkloric suites, and fiery flamenco in this 45-minute performance suitable for audiences of all ages.]",parks,none
Night Out: Project Inclusion at Tuley,2015-07-16T19:00:00,2015-07-16T20:00:00,"Tuley Park, 501 E. 90th Pl., Chicago IL         60619","This year the Grant Park Music Festival will continue to work together with the Chicago Park District's Night Out in the Parks program and expand Festival Connect, its comprehensive initiative aimed to increase music education and engagement opportunities for audiences of all ages.    Enjoy the wonders of chamber music through Project Inclusion?s family-friendly and interactive string concerts showcasing the talents of exceptional young musicians of diverse backgrounds.       ]",parks,none
Night Out: Theater on the Lake at Berger,2015-07-16T19:30:00,2015-07-16T21:30:00,"Berger Park Cultural Center, 6205 N. Sheridan Rd., Chicago IL         60660","Theater Oobleck presents, ""Song About Himself."" In a dystopian future, where the Internet has been effectively destroyed by viruses and malware, people communicate in mumbles. Looking for human interaction, Carol ― a woman made extraordinary by her ability to speak relatively clearly ― signs in to a mysterious social media site only to find that, strangely, she is its only member. The secrets she uncovers there will either cure or break her lonely heart. Employing an original form of verse derived from a corruption of Walt Whitman's Leaves of Grass, Song About Himself goes at the question every play asks: ""Do words, in the end, help?""]",parks,none
Night Out: Stargazing at Palmer,2015-07-16T20:30:00,2015-07-16T21:30:00,"Palmer Park, 201 E. 111th St., Chicago IL         60628","Bring the whole family and a blanket for a night of stargazing with the Chicago Astronomer: look deep into the night sky and learn about phases of the moon, neighboring planets, star clusters, nebulae, and more.]",parks,none
Night Out: Concerts in the Parks at Sauganash,2015-07-16T20:30:00,2015-07-16T21:30:00,"Palmer Park, 201 E. 111th St., Chicago IL         60628","  Join us for a lively evening in the park celebrating the sounds of Frank Sinatra.   
",parks,none
Night Out: Concerts in the Parks at Sauganash,2015-07-17T18:00:00,2015-07-17T19:00:00,"Sauganash Park, 5861 N. Kostner Ave., Chicago IL         60646","  Join us for a lively evening in the park celebrating the sounds of Frank Sinatra.   
",parks,none
Night Out: On the Caribbean Isle at Williams-Davis,2015-07-17T18:00:00,2015-07-17T20:00:00,"Williams - Davis Park, 4101 S. Lake Park, Chicago IL         60653","West Indian Dance Theater presents an evening of traditional and island-style contemporary Afro-Caribbean dance and music. The program includes a performance, an interactive mini-dance workshop, and a limbo contest.]",parks,none
Night Out: RE|Dance Group at NPV,2015-07-17T18:00:00,2015-07-17T20:00:00,"North Park Village Nature Center, 5801 N. Pulaski Rd., Chicago IL         60646"," This event has been rescheduled for Friday, 7/31/15.      RE|Dance Group will be presenting excerpts from their most popular evening-length works in site-specific areas throughout the park. Come join us for an exciting dance theatre experience as we take you on a journey to the many different landscapes and environments we create through movement!]",parks,none
Night Out: CWCMC Youth Motown Review at Seward,2015-07-17T18:00:00,2015-07-17T19:05:00,"Seward Park, 375 W. Elm St., Chicago IL         60610","CWCMC Youth Performing Ensemble will present A Motown Review ? Dancing in the Street.The Ensemble youth will sing, play instruments and dance to Motown songs and tell the story of Motown Records.]",parks,none
"Night Out: That's Weird, Grandma at Nichols",2015-07-17T18:15:00,2015-07-17T19:45:00,"Nichols Park, 1355 E. 53rd St., Chicago IL         60615","Barrel of Monkey's ""That's Weird, Grandma"" is a variety show of short plays written by 3rd, 4th, and 5th graders and performed by professional actors. The show includes sketches, songs, and movement pieces, and ranges in tone from funny to spooky to playful to sentimental. While the show was written by elementary-aged students, it is consistently enjoyed by all ages.]",parks,none
Night Out: Dance in the Parks at Berger,2015-07-17T18:30:00,2015-07-17T20:00:00,"Berger Park Cultural Center, 6205 N. Sheridan Rd., Chicago IL         60660",Dance in the Parks brings professional concert dance to a temporary stage in Chicago's neighborhood parks! Performances include dance works by established up-and-coming Chicago choreographers performed by professional dancers as well as showcase opportunities for youth performers from the local neighborhoods. Free all- ages performance. Bring your picnic and enjoy the show!],parks,none
Night Out: Motivation and Inspiration at Don Nash,2015-07-17T18:30:00,2015-07-17T20:00:00,"Don Nash Community Center, 1833 E. 71st St., Chicago IL         60649","Jamiah On Fire And The Red Machine is a local youth band made up of three cousins. ages 19,16 and 14. The band has been together for seven years and performs throughout the chicagoland area. Jamiah on fire and the Red Machine is a success story and supports the fact the kids can do great things!]",parks,none
Night Out: Jazz City Latin Jazz Fest at Humboldt,2015-07-17T18:30:00,2015-07-17T20:00:00,"Don Nash Community Center, 1833 E. 71st St., Chicago IL         60649","In collaboration with the Jazz Institute of Chicago, this community celebration brings Latin Jazz greats from around the country and right here at home to the beautiful Boathouse in Humboldt Park.
",parks,none
Night Out: Jazz City Latin Jazz Fest at Humboldt,2015-07-17T19:00:00,2015-07-17T22:00:00,"Humboldt Park, 1400 N. Sacramento Ave , Chicago IL         60622","In collaboration with the Jazz Institute of Chicago, this community celebration brings Latin Jazz greats from around the country and right here at home to the beautiful Boathouse in Humboldt Park.
",parks,none
Night Out: Drum Circle at Mozart,2015-07-17T19:00:00,2015-07-17T22:00:00,"Humboldt Park, 1400 N. Sacramento Ave , Chicago IL         60622","Join us for our monthly, facilitated, in the moment, community drum circle. Bring a drum, shaker or anything you like the sound of. There are some extra percussion instruments on hand on a first come first serve basis. 
",parks,none
Night Out: Drum Circle at Mozart,2015-07-17T19:30:00,2015-07-17T21:30:00,"Mozart Park, 2036 N. Avers Ave., Chicago IL         60647","Join us for our monthly, facilitated, in the moment, community drum circle. Bring a drum, shaker or anything you like the sound of. There are some extra percussion instruments on hand on a first come first serve basis. 
",parks,none
Night Out: Theater on the Lake at Berger,2015-07-17T19:30:00,2015-07-17T21:30:00,"Berger Park Cultural Center, 6205 N. Sheridan Rd., Chicago IL         60660","Theater Oobleck presents, ""Song About Himself."" In a dystopian future, where the Internet has been effectively destroyed by viruses and malware, people communicate in mumbles. Looking for human interaction, Carol ― a woman made extraordinary by her ability to speak relatively clearly ― signs in to a mysterious social media site only to find that, strangely, she is its only member. The secrets she uncovers there will either cure or break her lonely heart. Employing an original form of verse derived from a corruption of Walt Whitman's Leaves of Grass, Song About Himself goes at the question every play asks: ""Do words, in the end, help?""]",parks,none
Night Out: Community Dance at Kennicott,2015-07-18T11:00:00,2015-07-18T12:00:00,"Kennicott Park, 4434 S. Lake Park Ave. , Chicago IL         60653","The Design Dance community dance workshops are designed to engage children and adults in the unique experience of learning and sharing dance. At Kennicott Park, ballet will be explored to reach a broad spectrum of Chicago community members.]",parks,none
Night Out: Hermosa/Beautiful/Piekny at Hermosa,2015-07-18T11:00:00,2015-07-18T17:00:00,"Hermosa Park, 2240 N. Kilbourn Ave., Chicago IL         60639","The Hermosa/Beautiful/Piękny Festival in the Parks is a community celebration. Residents, businesses and organizations come together to celebrate what brings us together. Music, art displays, cooking competitions and children activities are among the features of the Hermosa Festival in the Park. Join us at Hermosa Park, Greenbaum Park and Kelvyn Park.     For more details  follow us at www.facebook.com/HermosaCommunityNetwork.        ]",parks,none
Night Out: Urban Gateways at Cochran,2015-07-18T13:00:00,2015-07-18T14:00:00,"Cochran Playlot Park, 5550 N. Magnolia Ave., Chicago IL         60640","Urban Gateways Touring Performances bring captivating live shows by many of Chicago's finest dance, music and theater artists to park sites across the city. These performances expose young people and families to diverse cultural and artistic experiences and encourage them to engage in a personal exploration of the arts.]",parks,none
Night Out: Color Balloon Fight at Barrett,2015-07-18T13:00:00,2015-07-18T14:00:00,"Barrett Park, 2022 W. Cermak Rd., Chicago IL         60608","Come in light-colored clothing, battle it out with dye-filled water balloons, and leave in a rainbow of colors. It's a massive water balloon fight! Canvas backdrops set up around the park will also be dyed during the event, making large-scale works of tie-dye-esque art. Plus, a documentary film class will record the proceedings and create a fun, short video.]",parks,none
Night Out: Jazz City Latin Jazz Fest at Humboldt,2015-07-18T13:00:00,2015-07-18T14:00:00,"Barrett Park, 2022 W. Cermak Rd., Chicago IL         60608","In collaboration with the Jazz Institute of Chicago, this community celebration brings Latin Jazz greats from around the country and right here at home to the beautiful Boathouse in Humboldt Park.
",parks,none
